"clr","R","G","B"
"gray2",0.0196078431372549,0.0196078431372549,0.0196078431372549
"gray3",0.0313725490196078,0.0313725490196078,0.0313725490196078
"gray4",0.0392156862745098,0.0392156862745098,0.0392156862745098
"gray5",0.0509803921568627,0.0509803921568627,0.0509803921568627
"gray6",0.0588235294117647,0.0588235294117647,0.0588235294117647
"gray7",0.0705882352941176,0.0705882352941176,0.0705882352941176
"gray8",0.0784313725490196,0.0784313725490196,0.0784313725490196
"gray9",0.0901960784313725,0.0901960784313725,0.0901960784313725
"gray10",0.101960784313725,0.101960784313725,0.101960784313725
"gray11",0.109803921568627,0.109803921568627,0.109803921568627
"gray12",0.12156862745098,0.12156862745098,0.12156862745098
"gray13",0.129411764705882,0.129411764705882,0.129411764705882
"gray14",0.141176470588235,0.141176470588235,0.141176470588235
"gray15",0.149019607843137,0.149019607843137,0.149019607843137
"gray16",0.16078431372549,0.16078431372549,0.16078431372549
"gray17",0.168627450980392,0.168627450980392,0.168627450980392
"gray18",0.180392156862745,0.180392156862745,0.180392156862745
"gray19",0.188235294117647,0.188235294117647,0.188235294117647
"gray20",0.2,0.2,0.2
"gray21",0.211764705882353,0.211764705882353,0.211764705882353
"gray22",0.219607843137255,0.219607843137255,0.219607843137255
"gray23",0.231372549019608,0.231372549019608,0.231372549019608
"gray24",0.23921568627451,0.23921568627451,0.23921568627451
"gray25",0.250980392156863,0.250980392156863,0.250980392156863
"gray26",0.258823529411765,0.258823529411765,0.258823529411765
"gray27",0.270588235294118,0.270588235294118,0.270588235294118
"gray28",0.27843137254902,0.27843137254902,0.27843137254902
"gray29",0.290196078431373,0.290196078431373,0.290196078431373
"gray30",0.301960784313725,0.301960784313725,0.301960784313725
"gray31",0.309803921568627,0.309803921568627,0.309803921568627
"gray32",0.32156862745098,0.32156862745098,0.32156862745098
"gray33",0.329411764705882,0.329411764705882,0.329411764705882
"gray34",0.341176470588235,0.341176470588235,0.341176470588235
"gray35",0.349019607843137,0.349019607843137,0.349019607843137
"gray36",0.36078431372549,0.36078431372549,0.36078431372549
"gray37",0.368627450980392,0.368627450980392,0.368627450980392
"gray38",0.380392156862745,0.380392156862745,0.380392156862745
"gray39",0.388235294117647,0.388235294117647,0.388235294117647
"gray40",0.4,0.4,0.4
"gray41",0.411764705882353,0.411764705882353,0.411764705882353
"gray42",0.419607843137255,0.419607843137255,0.419607843137255
"gray43",0.431372549019608,0.431372549019608,0.431372549019608
"gray44",0.43921568627451,0.43921568627451,0.43921568627451
"gray45",0.450980392156863,0.450980392156863,0.450980392156863
"gray46",0.458823529411765,0.458823529411765,0.458823529411765
"gray47",0.470588235294118,0.470588235294118,0.470588235294118
"gray48",0.47843137254902,0.47843137254902,0.47843137254902
"gray49",0.490196078431373,0.490196078431373,0.490196078431373
"gray50",0.498039215686275,0.498039215686275,0.498039215686275
"gray51",0.509803921568627,0.509803921568627,0.509803921568627
"gray52",0.52156862745098,0.52156862745098,0.52156862745098
"gray53",0.529411764705882,0.529411764705882,0.529411764705882
"gray54",0.541176470588235,0.541176470588235,0.541176470588235
"gray55",0.549019607843137,0.549019607843137,0.549019607843137
"gray56",0.56078431372549,0.56078431372549,0.56078431372549
"gray57",0.568627450980392,0.568627450980392,0.568627450980392
"gray58",0.580392156862745,0.580392156862745,0.580392156862745
"gray59",0.588235294117647,0.588235294117647,0.588235294117647
"gray60",0.6,0.6,0.6
"gray61",0.611764705882353,0.611764705882353,0.611764705882353
"gray62",0.619607843137255,0.619607843137255,0.619607843137255
"gray63",0.631372549019608,0.631372549019608,0.631372549019608
"gray64",0.63921568627451,0.63921568627451,0.63921568627451
"gray65",0.650980392156863,0.650980392156863,0.650980392156863
"gray66",0.658823529411765,0.658823529411765,0.658823529411765
"gray67",0.670588235294118,0.670588235294118,0.670588235294118
"gray68",0.67843137254902,0.67843137254902,0.67843137254902
"gray69",0.690196078431373,0.690196078431373,0.690196078431373
"gray70",0.701960784313725,0.701960784313725,0.701960784313725
"gray71",0.709803921568627,0.709803921568627,0.709803921568627
"gray72",0.72156862745098,0.72156862745098,0.72156862745098
"gray73",0.729411764705882,0.729411764705882,0.729411764705882
"gray74",0.741176470588235,0.741176470588235,0.741176470588235
"gray75",0.749019607843137,0.749019607843137,0.749019607843137
"gray76",0.76078431372549,0.76078431372549,0.76078431372549
"gray77",0.768627450980392,0.768627450980392,0.768627450980392
"gray78",0.780392156862745,0.780392156862745,0.780392156862745
"gray79",0.788235294117647,0.788235294117647,0.788235294117647
"gray80",0.8,0.8,0.8
"gray81",0.811764705882353,0.811764705882353,0.811764705882353
"gray82",0.819607843137255,0.819607843137255,0.819607843137255
"gray83",0.831372549019608,0.831372549019608,0.831372549019608
"gray84",0.83921568627451,0.83921568627451,0.83921568627451
"gray85",0.850980392156863,0.850980392156863,0.850980392156863
"gray86",0.858823529411765,0.858823529411765,0.858823529411765
"gray87",0.870588235294118,0.870588235294118,0.870588235294118
"gray88",0.87843137254902,0.87843137254902,0.87843137254902
"gray89",0.890196078431372,0.890196078431372,0.890196078431372
"gray90",0.898039215686275,0.898039215686275,0.898039215686275
"gray91",0.909803921568627,0.909803921568627,0.909803921568627
"gray92",0.92156862745098,0.92156862745098,0.92156862745098
"gray93",0.929411764705882,0.929411764705882,0.929411764705882
"gray94",0.941176470588235,0.941176470588235,0.941176470588235
"gray95",0.949019607843137,0.949019607843137,0.949019607843137
"gray96",0.96078431372549,0.96078431372549,0.96078431372549
"gray97",0.968627450980392,0.968627450980392,0.968627450980392
"gray98",0.980392156862745,0.980392156862745,0.980392156862745
"gray99",0.988235294117647,0.988235294117647,0.988235294117647
"gray100",1,1,1
"green",0,1,0
"green1",0,1,0
"green2",0,0.933333333333333,0
"green3",0,0.803921568627451,0
"green4",0,0.545098039215686,0
"greenyellow",0.67843137254902,1,0.184313725490196
"grey",0.745098039215686,0.745098039215686,0.745098039215686
"grey0",0,0,0
"grey1",0.0117647058823529,0.0117647058823529,0.0117647058823529
"grey2",0.0196078431372549,0.0196078431372549,0.0196078431372549
"grey3",0.0313725490196078,0.0313725490196078,0.0313725490196078
"grey4",0.0392156862745098,0.0392156862745098,0.0392156862745098
"grey5",0.0509803921568627,0.0509803921568627,0.0509803921568627
"grey6",0.0588235294117647,0.0588235294117647,0.0588235294117647
"grey7",0.0705882352941176,0.0705882352941176,0.0705882352941176
"grey8",0.0784313725490196,0.0784313725490196,0.0784313725490196
"grey9",0.0901960784313725,0.0901960784313725,0.0901960784313725
"grey10",0.101960784313725,0.101960784313725,0.101960784313725
"grey11",0.109803921568627,0.109803921568627,0.109803921568627
"grey12",0.12156862745098,0.12156862745098,0.12156862745098
"grey13",0.129411764705882,0.129411764705882,0.129411764705882
"grey14",0.141176470588235,0.141176470588235,0.141176470588235
"grey15",0.149019607843137,0.149019607843137,0.149019607843137
"grey16",0.16078431372549,0.16078431372549,0.16078431372549
"grey17",0.168627450980392,0.168627450980392,0.168627450980392
"grey18",0.180392156862745,0.180392156862745,0.180392156862745
"grey19",0.188235294117647,0.188235294117647,0.188235294117647
"grey20",0.2,0.2,0.2
"grey21",0.211764705882353,0.211764705882353,0.211764705882353
"grey22",0.219607843137255,0.219607843137255,0.219607843137255
"grey23",0.231372549019608,0.231372549019608,0.231372549019608
"grey24",0.23921568627451,0.23921568627451,0.23921568627451
"grey25",0.250980392156863,0.250980392156863,0.250980392156863
"grey26",0.258823529411765,0.258823529411765,0.258823529411765
"grey27",0.270588235294118,0.270588235294118,0.270588235294118
"grey28",0.27843137254902,0.27843137254902,0.27843137254902
"grey29",0.290196078431373,0.290196078431373,0.290196078431373
"grey30",0.301960784313725,0.301960784313725,0.301960784313725
"grey31",0.309803921568627,0.309803921568627,0.309803921568627
"grey32",0.32156862745098,0.32156862745098,0.32156862745098
"grey33",0.329411764705882,0.329411764705882,0.329411764705882
"grey34",0.341176470588235,0.341176470588235,0.341176470588235
"grey35",0.349019607843137,0.349019607843137,0.349019607843137
"grey36",0.36078431372549,0.36078431372549,0.36078431372549
"grey37",0.368627450980392,0.368627450980392,0.368627450980392
"grey38",0.380392156862745,0.380392156862745,0.380392156862745
"grey39",0.388235294117647,0.388235294117647,0.388235294117647
"grey40",0.4,0.4,0.4
"grey41",0.411764705882353,0.411764705882353,0.411764705882353
"grey42",0.419607843137255,0.419607843137255,0.419607843137255
"grey43",0.431372549019608,0.431372549019608,0.431372549019608
"grey44",0.43921568627451,0.43921568627451,0.43921568627451
"grey45",0.450980392156863,0.450980392156863,0.450980392156863
"grey46",0.458823529411765,0.458823529411765,0.458823529411765
"grey47",0.470588235294118,0.470588235294118,0.470588235294118
"grey48",0.47843137254902,0.47843137254902,0.47843137254902
"grey49",0.490196078431373,0.490196078431373,0.490196078431373
"grey50",0.498039215686275,0.498039215686275,0.498039215686275
"grey51",0.509803921568627,0.509803921568627,0.509803921568627
"grey52",0.52156862745098,0.52156862745098,0.52156862745098
"grey53",0.529411764705882,0.529411764705882,0.529411764705882
"grey54",0.541176470588235,0.541176470588235,0.541176470588235
"grey55",0.549019607843137,0.549019607843137,0.549019607843137
"grey56",0.56078431372549,0.56078431372549,0.56078431372549
"grey57",0.568627450980392,0.568627450980392,0.568627450980392
"grey58",0.580392156862745,0.580392156862745,0.580392156862745
"grey59",0.588235294117647,0.588235294117647,0.588235294117647
"grey60",0.6,0.6,0.6
"grey61",0.611764705882353,0.611764705882353,0.611764705882353
"grey62",0.619607843137255,0.619607843137255,0.619607843137255
"grey63",0.631372549019608,0.631372549019608,0.631372549019608
"grey64",0.63921568627451,0.63921568627451,0.63921568627451
"grey65",0.650980392156863,0.650980392156863,0.650980392156863
"grey66",0.658823529411765,0.658823529411765,0.658823529411765
"grey67",0.670588235294118,0.670588235294118,0.670588235294118
"grey68",0.67843137254902,0.67843137254902,0.67843137254902
"grey69",0.690196078431373,0.690196078431373,0.690196078431373
"grey70",0.701960784313725,0.701960784313725,0.701960784313725
"grey71",0.709803921568627,0.709803921568627,0.709803921568627
"grey72",0.72156862745098,0.72156862745098,0.72156862745098
"grey73",0.729411764705882,0.729411764705882,0.729411764705882
"grey74",0.741176470588235,0.741176470588235,0.741176470588235
"grey75",0.749019607843137,0.749019607843137,0.749019607843137
"grey76",0.76078431372549,0.76078431372549,0.76078431372549
"grey77",0.768627450980392,0.768627450980392,0.768627450980392
"grey78",0.780392156862745,0.780392156862745,0.780392156862745
"grey79",0.788235294117647,0.788235294117647,0.788235294117647
"grey80",0.8,0.8,0.8
"grey81",0.811764705882353,0.811764705882353,0.811764705882353
"grey82",0.819607843137255,0.819607843137255,0.819607843137255
"grey83",0.831372549019608,0.831372549019608,0.831372549019608
"grey84",0.83921568627451,0.83921568627451,0.83921568627451
"grey85",0.850980392156863,0.850980392156863,0.850980392156863
"grey86",0.858823529411765,0.858823529411765,0.858823529411765
"grey87",0.870588235294118,0.870588235294118,0.870588235294118
"grey88",0.87843137254902,0.87843137254902,0.87843137254902
"grey89",0.890196078431372,0.890196078431372,0.890196078431372
"grey90",0.898039215686275,0.898039215686275,0.898039215686275
"grey91",0.909803921568627,0.909803921568627,0.909803921568627
"grey92",0.92156862745098,0.92156862745098,0.92156862745098
"grey93",0.929411764705882,0.929411764705882,0.929411764705882
"grey94",0.941176470588235,0.941176470588235,0.941176470588235
"grey95",0.949019607843137,0.949019607843137,0.949019607843137
"grey96",0.96078431372549,0.96078431372549,0.96078431372549
"grey97",0.968627450980392,0.968627450980392,0.968627450980392
"grey98",0.980392156862745,0.980392156862745,0.980392156862745
"grey99",0.988235294117647,0.988235294117647,0.988235294117647
"grey100",1,1,1
"honeydew",0.941176470588235,1,0.941176470588235
"honeydew1",0.941176470588235,1,0.941176470588235
"honeydew2",0.87843137254902,0.933333333333333,0.87843137254902
"honeydew3",0.756862745098039,0.803921568627451,0.756862745098039
"honeydew4",0.513725490196078,0.545098039215686,0.513725490196078
"hotpink",1,0.411764705882353,0.705882352941177
"hotpink1",1,0.431372549019608,0.705882352941177
"hotpink2",0.933333333333333,0.415686274509804,0.654901960784314
"hotpink3",0.803921568627451,0.376470588235294,0.564705882352941
"hotpink4",0.545098039215686,0.227450980392157,0.384313725490196
"indianred",0.803921568627451,0.36078431372549,0.36078431372549
"indianred1",1,0.415686274509804,0.415686274509804
"indianred2",0.933333333333333,0.388235294117647,0.388235294117647
"indianred3",0.803921568627451,0.333333333333333,0.333333333333333
"indianred4",0.545098039215686,0.227450980392157,0.227450980392157
"ivory",1,1,0.941176470588235
"ivory1",1,1,0.941176470588235
"ivory2",0.933333333333333,0.933333333333333,0.87843137254902
"ivory3",0.803921568627451,0.803921568627451,0.756862745098039
"ivory4",0.545098039215686,0.545098039215686,0.513725490196078
"khaki",0.941176470588235,0.901960784313726,0.549019607843137
"khaki1",1,0.964705882352941,0.56078431372549
"khaki2",0.933333333333333,0.901960784313726,0.52156862745098
"khaki3",0.803921568627451,0.776470588235294,0.450980392156863
"khaki4",0.545098039215686,0.525490196078431,0.305882352941176
"lavender",0.901960784313726,0.901960784313726,0.980392156862745
"lavenderblush",1,0.941176470588235,0.96078431372549
"lavenderblush1",1,0.941176470588235,0.96078431372549
"lavenderblush2",0.933333333333333,0.87843137254902,0.898039215686275
"lavenderblush3",0.803921568627451,0.756862745098039,0.772549019607843
"lavenderblush4",0.545098039215686,0.513725490196078,0.525490196078431
"lawngreen",0.486274509803922,0.988235294117647,0
"lemonchiffon",1,0.980392156862745,0.803921568627451
"lemonchiffon1",1,0.980392156862745,0.803921568627451
"lemonchiffon2",0.933333333333333,0.913725490196078,0.749019607843137
"lemonchiffon3",0.803921568627451,0.788235294117647,0.647058823529412
"lemonchiffon4",0.545098039215686,0.537254901960784,0.43921568627451
"lightblue",0.67843137254902,0.847058823529412,0.901960784313726
"lightblue1",0.749019607843137,0.937254901960784,1
"lightblue2",0.698039215686274,0.874509803921569,0.933333333333333
"lightblue3",0.603921568627451,0.752941176470588,0.803921568627451
"lightblue4",0.407843137254902,0.513725490196078,0.545098039215686
"lightcoral",0.941176470588235,0.501960784313725,0.501960784313725
"lightcyan",0.87843137254902,1,1
"lightcyan1",0.87843137254902,1,1
"lightcyan2",0.819607843137255,0.933333333333333,0.933333333333333
"lightcyan3",0.705882352941177,0.803921568627451,0.803921568627451
"lightcyan4",0.47843137254902,0.545098039215686,0.545098039215686
"lightgoldenrod",0.933333333333333,0.866666666666667,0.509803921568627
"lightgoldenrod1",1,0.925490196078431,0.545098039215686
"lightgoldenrod2",0.933333333333333,0.862745098039216,0.509803921568627
"lightgoldenrod3",0.803921568627451,0.745098039215686,0.43921568627451
"lightgoldenrod4",0.545098039215686,0.505882352941176,0.298039215686275
"lightgoldenrodyellow",0.980392156862745,0.980392156862745,0.823529411764706
"lightgray",0.827450980392157,0.827450980392157,0.827450980392157
"lightgreen",0.564705882352941,0.933333333333333,0.564705882352941
"lightgrey",0.827450980392157,0.827450980392157,0.827450980392157
"lightpink",1,0.713725490196078,0.756862745098039
"lightpink1",1,0.682352941176471,0.725490196078431
"lightpink2",0.933333333333333,0.635294117647059,0.67843137254902
"lightpink3",0.803921568627451,0.549019607843137,0.584313725490196
"lightpink4",0.545098039215686,0.372549019607843,0.396078431372549
"lightsalmon",1,0.627450980392157,0.47843137254902
"lightsalmon1",1,0.627450980392157,0.47843137254902
"lightsalmon2",0.933333333333333,0.584313725490196,0.447058823529412
"lightsalmon3",0.803921568627451,0.505882352941176,0.384313725490196
"lightsalmon4",0.545098039215686,0.341176470588235,0.258823529411765
"lightseagreen",0.125490196078431,0.698039215686274,0.666666666666667
"lightskyblue",0.529411764705882,0.807843137254902,0.980392156862745
"lightskyblue1",0.690196078431373,0.886274509803922,1
"lightskyblue2",0.643137254901961,0.827450980392157,0.933333333333333
"lightskyblue3",0.552941176470588,0.713725490196078,0.803921568627451
"lightskyblue4",0.376470588235294,0.482352941176471,0.545098039215686
"lightslateblue",0.517647058823529,0.43921568627451,1
"lightslategray",0.466666666666667,0.533333333333333,0.6
"lightslategrey",0.466666666666667,0.533333333333333,0.6
"lightsteelblue",0.690196078431373,0.768627450980392,0.870588235294118
"lightsteelblue1",0.792156862745098,0.882352941176471,1
"lightsteelblue2",0.737254901960784,0.823529411764706,0.933333333333333
"lightsteelblue3",0.635294117647059,0.709803921568627,0.803921568627451
"lightsteelblue4",0.431372549019608,0.482352941176471,0.545098039215686
"lightyellow",1,1,0.87843137254902
"lightyellow1",1,1,0.87843137254902
"lightyellow2",0.933333333333333,0.933333333333333,0.819607843137255
"lightyellow3",0.803921568627451,0.803921568627451,0.705882352941177
"lightyellow4",0.545098039215686,0.545098039215686,0.47843137254902
"limegreen",0.196078431372549,0.803921568627451,0.196078431372549
"linen",0.980392156862745,0.941176470588235,0.901960784313726
"magenta",1,0,1
"magenta1",1,0,1
"magenta2",0.933333333333333,0,0.933333333333333
"magenta3",0.803921568627451,0,0.803921568627451
"magenta4",0.545098039215686,0,0.545098039215686
"maroon",0.690196078431373,0.188235294117647,0.376470588235294
"maroon1",1,0.203921568627451,0.701960784313725
"maroon2",0.933333333333333,0.188235294117647,0.654901960784314
"maroon3",0.803921568627451,0.16078431372549,0.564705882352941
"maroon4",0.545098039215686,0.109803921568627,0.384313725490196
"mediumaquamarine",0.4,0.803921568627451,0.666666666666667
"mediumblue",0,0,0.803921568627451
"mediumorchid",0.729411764705882,0.333333333333333,0.827450980392157
"mediumorchid1",0.87843137254902,0.4,1
"mediumorchid2",0.819607843137255,0.372549019607843,0.933333333333333
"mediumorchid3",0.705882352941177,0.32156862745098,0.803921568627451
"mediumorchid4",0.47843137254902,0.215686274509804,0.545098039215686
"mediumpurple",0.576470588235294,0.43921568627451,0.858823529411765
"mediumpurple1",0.670588235294118,0.509803921568627,1
"mediumpurple2",0.623529411764706,0.474509803921569,0.933333333333333
"mediumpurple3",0.537254901960784,0.407843137254902,0.803921568627451
"mediumpurple4",0.364705882352941,0.27843137254902,0.545098039215686
"mediumseagreen",0.235294117647059,0.701960784313725,0.443137254901961
"mediumslateblue",0.482352941176471,0.407843137254902,0.933333333333333
"mediumspringgreen",0,0.980392156862745,0.603921568627451
"mediumturquoise",0.282352941176471,0.819607843137255,0.8
"mediumvioletred",0.780392156862745,0.0823529411764706,0.52156862745098
"midnightblue",0.0980392156862745,0.0980392156862745,0.43921568627451
"mintcream",0.96078431372549,1,0.980392156862745
"mistyrose",1,0.894117647058824,0.882352941176471
"mistyrose1",1,0.894117647058824,0.882352941176471
"mistyrose2",0.933333333333333,0.835294117647059,0.823529411764706
"mistyrose3",0.803921568627451,0.717647058823529,0.709803921568627
"mistyrose4",0.545098039215686,0.490196078431373,0.482352941176471
"moccasin",1,0.894117647058824,0.709803921568627
"navajowhite",1,0.870588235294118,0.67843137254902
"navajowhite1",1,0.870588235294118,0.67843137254902
"navajowhite2",0.933333333333333,0.811764705882353,0.631372549019608
"navajowhite3",0.803921568627451,0.701960784313725,0.545098039215686
"navajowhite4",0.545098039215686,0.474509803921569,0.368627450980392
"navy",0,0,0.501960784313725
"navyblue",0,0,0.501960784313725
"oldlace",0.992156862745098,0.96078431372549,0.901960784313726
"olivedrab",0.419607843137255,0.556862745098039,0.137254901960784
"olivedrab1",0.752941176470588,1,0.243137254901961
"olivedrab2",0.701960784313725,0.933333333333333,0.227450980392157
"olivedrab3",0.603921568627451,0.803921568627451,0.196078431372549
"olivedrab4",0.411764705882353,0.545098039215686,0.133333333333333
"orange",1,0.647058823529412,0
"orange1",1,0.647058823529412,0
"orange2",0.933333333333333,0.603921568627451,0
